site_id,crate,file,line,kind,condition,source,classification,recommended_primitive,status,rationale
CTSEL-0001,pqc-ml-kem,crates/pqc-ml-kem/src/encoding.rs,29,if-expression-selection,let bit = if c > Q / 4 && c < (3 * Q) / 4 {,let bit = if c > Q / 4 && c < (3 * Q) / 4 {,review,manual,open,Insufficient context for automatic classification.
CTSEL-0002,pqc-ml-kem,crates/pqc-ml-kem/src/matrix.rs,57,if-expression-selection,let x = if transposed { row as u8 } else { col as u8 };,let x = if transposed { row as u8 } else { col as u8 };,review,manual,open,Insufficient context for automatic classification.
CTSEL-0003,pqc-ml-kem,crates/pqc-ml-kem/src/matrix.rs,58,if-expression-selection,let y = if transposed { col as u8 } else { row as u8 };,let y = if transposed { col as u8 } else { row as u8 };,review,manual,open,Insufficient context for automatic classification.
CTSEL-0004,pqc-ml-kem,crates/pqc-ml-kem/src/matrix.rs,85,conditional-assignment,d1 < Q as u16,coeffs[coeff_index] = d1 as i16;,public-structural,none,accepted-public,"Condition appears to use public length, parameter, or loop state."
CTSEL-0005,pqc-ml-kem,crates/pqc-ml-kem/src/matrix.rs,90,conditional-assignment,coeff_index < N && d2 < Q as u16,coeffs[coeff_index] = d2 as i16;,public-structural,none,accepted-public,"Condition appears to use public length, parameter, or loop state."
CTSEL-0006,pqc-ml-kem,crates/pqc-ml-kem/src/ntt.rs,71,conditional-assignment,e & 1 == 1,"result = mul(result, b);",review,manual,open,Insufficient context for automatic classification.
CTSEL-0007,pqc-ml-kem,crates/pqc-ml-kem/src/sampling.rs,13,if-expression-selection,let nibble = if i % 2 == 0 { byte & 0x0f } else { byte >> 4 };,let nibble = if i % 2 == 0 { byte & 0x0f } else { byte >> 4 };,review,manual,open,Insufficient context for automatic classification.
CTSEL-0008,pqc-ml-dsa,crates/pqc-ml-dsa/src/expand_a.rs,104,conditional-assignment,candidate < Q as u32,coefficients[accepted] = candidate as i32;,security-relevant,ct-select-or-ct-assign,open,Condition or assigned value appears secret-bearing or validation-sensitive.
CTSEL-0009,pqc-ml-dsa,crates/pqc-ml-dsa/src/sample.rs,45,conditional-assignment,"let Some(coefficient) = decode_eta_nibble(low, eta)",coefficients[filled] = coefficient;,security-relevant,ct-select-or-ct-assign,open,Condition or assigned value appears secret-bearing or validation-sensitive.
CTSEL-0010,pqc-ml-dsa,crates/pqc-ml-dsa/src/sample.rs,54,conditional-assignment,"let Some(coefficient) = decode_eta_nibble(high, eta)",coefficients[filled] = coefficient;,security-relevant,ct-select-or-ct-assign,open,Condition or assigned value appears secret-bearing or validation-sensitive.
CTSEL-0011,pqc-ml-dsa,crates/pqc-ml-dsa/src/signature.rs,445,if-expression-selection,let value = if subtract {,let value = if subtract {,review,manual,open,Insufficient context for automatic classification.
