target,category,instruction,source_file,source_line,dependency,classification,rationale,reviewer,status
audit_multiply_challenge,conditional_branches,100000aa4:	b.eq	0x100000b0c,,,transcript-derived,expected,Sparse challenge support branch; challenge is transcript-derived.,,provisional
audit_multiply_challenge,indexed_memory_candidates,"100000a68:	stp	x28, x27, [sp, #-0x30]!",,,implementation-control,expected,Compiler-generated fixed-offset stack/frame access.,Ro,closed
audit_multiply_challenge,indexed_memory_candidates,"100000a6c:	stp	x20, x19, [sp, #0x10]",,,implementation-control,expected,Compiler-generated fixed-offset stack/frame access.,Ro,closed
audit_multiply_challenge,indexed_memory_candidates,"100000a70:	stp	x29, x30, [sp, #0x20]",,,implementation-control,expected,Compiler-generated fixed-offset stack/frame access.,Ro,closed
audit_multiply_challenge,indexed_memory_candidates,"100000afc:	ldp	x29, x30, [sp, #0x20]",,,implementation-control,expected,Compiler-generated fixed-offset stack/frame access.,Ro,closed
audit_multiply_challenge,indexed_memory_candidates,"100000b00:	ldp	x20, x19, [sp, #0x10]",,,implementation-control,expected,Compiler-generated fixed-offset stack/frame access.,Ro,closed
audit_multiply_challenge,indexed_memory_candidates,"100000b04:	ldp	x28, x27, [sp], #0x30",,,implementation-control,expected,Compiler-generated fixed-offset stack/frame access.,Ro,closed
audit_sample_eta,conditional_branches,100000b90:	b.eq	0x100000bbc,,,unclassified,review,Manual classification required.,,open
audit_sample_eta,indexed_memory_candidates,"100000b30:	stp	x28, x27, [sp, #-0x30]!",,,implementation-control,expected,Compiler-generated fixed-offset stack/frame access.,Ro,closed
audit_sample_eta,indexed_memory_candidates,"100000b34:	stp	x20, x19, [sp, #0x10]",,,implementation-control,expected,Compiler-generated fixed-offset stack/frame access.,Ro,closed
audit_sample_eta,indexed_memory_candidates,"100000b38:	stp	x29, x30, [sp, #0x20]",,,implementation-control,expected,Compiler-generated fixed-offset stack/frame access.,Ro,closed
audit_sample_eta,indexed_memory_candidates,"100000bac:	ldp	x29, x30, [sp, #0x20]",,,implementation-control,expected,Compiler-generated fixed-offset stack/frame access.,Ro,closed
