finding_id,title,severity,dependency,disposition,targets,addresses,instruction_count,source,rationale,evidence
CHALLENGE_RESULT_CHECK,Challenge-sampling Result check,informational,implementation-control,accepted,audit_multiply_challenge; audit_sample_ball,100000aa4; 100000c34,2,,Branches test the Result discriminant returned by sample_in_ball_bytes and enter the unwrap/panic path on error. They do not depend on challenge coefficients or secret data.,100000aa4:	b.eq	0x100000b0c | 100000c34:	b.eq	0x100000c60
ENCODING_ALLOCATION_CLEANUP,Encoding allocation cleanup,informational,implementation-control,accepted,audit_encoding,100000f1c; 100000f30; 100000ffc; 10000101c,4,,cbz instructions guard deallocation and unwind cleanup based on allocation length or pointer state.,"100000f1c:	cbz	x21, 0x100000f30 | 100000f30:	cbz	x19, 0x100000f44 | 100000ffc:	cbz	x21, 0x10000101c | 10000101c:	cbz	x19, 0x100001038"
ENCODING_RESULT_CHECKS,Encoding and decoding Result checks,informational,implementation-control,accepted,audit_encoding,100000e40; 100000e70; 100000ec0; 100000f00,4,,"Branches test Result discriminants from encode_t0, decode_t0, encode_z, and decode_z. Failure paths lead to unwrap/panic logic.",100000e40:	b.eq	0x100000f5c | 100000e70:	b.eq	0x100000f88 | 100000ec0:	b.eq	0x100000f9c | 100000f00:	b.eq	0x100000fcc
ETA_RESULT_CHECK,Eta-sampling Result check,informational,implementation-control,accepted,audit_sample_eta,100000b90,1,,Branch tests the Result discriminant returned by sample_eta_poly and enters the unwrap/panic path on error.,100000b90:	b.eq	0x100000bbc
PUBLIC_VERIFICATION_RESULT,Public verification result branch,informational,public-result,accepted,audit_sign_verify,100001140,1,,The branch reflects verify_internal success or failure. Verification status is an intentionally public API result.,"100001140:	tbnz	w0, #0x0, 0x100001200"
ROUNDING_BRANCHLESS_CORRECTION,Branchless rounding corrections,informational,secret-coefficient,accepted,audit_rounding,100000d18; 100000d30; 100000d4c; 100000d60; 100000d78; 100000d90; 100000da8; 100000dbc; 100000dc0; 100000dcc,10,,LLVM lowers coefficient-dependent corrections to ARM64 csel and fixed-latency smull instructions. No secret-dependent branch or secret-indexed memory access is introduced.,"100000d30:	csel	w2, w4, w2, lt | 100000d4c:	csel	w2, wzr, w5, hi | 100000d60:	csel	w2, w2, w4, ne | 100000d90:	csel	w1, w3, w1, lt | 100000da8:	csel	w4, wzr, w4, hi | 100000dbc:	csel	w2, w16, w17, ne | 100000dc0:	csel	w3, w4, w3, ne | 100000dcc:	csel	w2, w0, wzr, gt | 100000d18:	smull	x4, w2, w13 | 100000d78:	smull	x3, w1, w13"
ROUNDING_LOOP_CONTROL,Fixed rounding-wrapper loop control,informational,public-loop-index,accepted,audit_rounding,100000ce8; 100000ddc,2,,The branch and indexed load implement iteration over a fixed public audit vector.,"100000ddc:	b.ne	0x100000ce8 | 100000ce8:	ldr	w1, [x11, x10]"
SIGN_VERIFY_ALLOCATION_CLEANUP,Sign/verify allocation and unwind cleanup,informational,implementation-control,accepted,audit_sign_verify,100001150; 100001168; 10000117c; 100001230,4,,"cbz instructions guard deallocation, drop, and unwind cleanup.","100001150:	cbz	x20, 0x100001164 | 100001168:	cbz	x1, 0x100001178 | 10000117c:	cbz	x1, 0x10000118c | 100001230:	cbz	x20, 0x100001258"
SIGN_VERIFY_RESULT_CHECKS,Key generation and signing Result checks,informational,implementation-control,accepted,audit_sign_verify,100001078; 1000010f0,2,,Branches test Result discriminants from keygen_internal and sign_internal and enter unwrap/panic paths on error.,100001078:	b.eq	0x1000011a4 | 1000010f0:	b.eq	0x1000011d0
STACK_FRAME_ACCESS,Fixed-offset stack and frame accesses,informational,implementation-control,accepted,audit_encoding; audit_multiply_challenge; audit_rounding; audit_sample_ball; audit_sample_eta; audit_sign_verify,100000a68; 100000a6c; 100000a70; 100000afc; 100000b00; 100000b04; 100000b30; 100000b34; 100000b38; 100000bac; 100000bb0; 100000bb4; 100000be0; 100000be4; 100000be8; 100000c04; 100000c0c; 100000c50; 100000c54; 100000c58; 100000c88; 100000d04; 100000de0; 100000dec; 100000df0; 100000df4; 100000df8; 100000f48; 100000f4c; 100000f50; 100000f54; 100001040; 100001044; 100001048; 10000104c; 100001094; 100001098; 1000010a0; 1000010b0; 1000010c0; 1000010c8; 1000010d0; 1000010f4; 1000010f8; 1000010fc; 100001104; 10000110c; 100001114; 10000111c; 100001124; 100001128; 100001130; 10000118c; 100001190; 100001194; 100001198,56,,Compiler-generated stack/frame loads and stores use fixed offsets from sp or x29 and are not secret-indexed.,"100000a68:	stp	x28, x27, [sp, #-0x30]! | 100000a6c:	stp	x20, x19, [sp, #0x10] | 100000a70:	stp	x29, x30, [sp, #0x20] | 100000afc:	ldp	x29, x30, [sp, #0x20] | 100000b00:	ldp	x20, x19, [sp, #0x10] | 100000b04:	ldp	x28, x27, [sp], #0x30 | 100000b30:	stp	x28, x27, [sp, #-0x30]! | 100000b34:	stp	x20, x19, [sp, #0x10] | 100000b38:	stp	x29, x30, [sp, #0x20] | 100000bac:	ldp	x29, x30, [sp, #0x20] | 100000bb0:	ldp	x20, x19, [sp, #0x10] | 100000bb4:	ldp	x28, x27, [sp], #0x30 | 100000be0:	stp	x28, x27, [sp, #-0x30]! | 100000be4:	stp	x20, x19, [sp, #0x10] | 100000be8:	stp	x29, x30, [sp, #0x20] | 100000c04:	stp	x8, x9, [sp, #0x8] | 100000c0c:	ldp	x0, x1, [sp, #0x8] | 100000c50:	ldp	x29, x30, [sp, #0x20] | 100000c54:	ldp	x20, x19, [sp, #0x10] | 100000c58:	ldp	x28, x27, [sp], #0x30 | 100000c88:	stp	x29, x30, [sp, #0x30] | 100000d04:	stp	w4, w2, [x29, #-0x8] | 100000de0:	ldp	x29, x30, [sp, #0x30] | 100000dec:	stp	x24, x23, [sp, #-0x40]! | 100000df0:	stp	x22, x21, [sp, #0x10] | 100000df4:	stp	x20, x19, [sp, #0x20] | 100000df8:	stp	x29, x30, [sp, #0x30] | 100000f48:	ldp	x29, x30, [sp, #0x30] | 100000f4c:	ldp	x20, x19, [sp, #0x20] | 100000f50:	ldp	x22, x21, [sp, #0x10] | 100000f54:	ldp	x24, x23, [sp], #0x40 | 100001040:	stp	x24, x23, [sp, #0x90] | 100001044:	stp	x22, x21, [sp, #0xa0] | 100001048:	stp	x20, x19, [sp, #0xb0] | 10000104c:	stp	x29, x30, [sp, #0xc0] | 100001094:	ldp	x19, x8, [sp, #0x30] | 100001098:	stp	x19, x8, [x29, #-0x50] | 1000010a0:	ldp	x1, x2, [x29, #-0x50] | 1000010b0:	stp	x23, x8, [x29, #-0x50] | 1000010c0:	ldp	x3, x4, [x29, #-0x50] | 1000010c8:	stp	x24, x8, [x29, #-0x50] | 1000010d0:	ldp	x5, x6, [x29, #-0x50] | 1000010f4:	ldp	x21, x8, [x29, #-0x48] | 1000010f8:	ldp	x22, x9, [sp, #0x18] | 1000010fc:	stp	x22, x9, [x29, #-0x50] | 100001104:	ldp	x1, x2, [x29, #-0x50] | 10000110c:	stp	x23, x9, [x29, #-0x50] | 100001114:	ldp	x3, x4, [x29, #-0x50] | 10000111c:	stp	x24, x9, [x29, #-0x50] | 100001124:	ldp	x5, x6, [x29, #-0x50] | 100001128:	stp	x21, x8, [x29, #-0x50] | 100001130:	ldp	x7, x8, [x29, #-0x50] | 10000118c:	ldp	x29, x30, [sp, #0xc0] | 100001190:	ldp	x20, x19, [sp, #0xb0] | 100001194:	ldp	x22, x21, [sp, #0xa0] | 100001198:	ldp	x24, x23, [sp, #0x90]"
